32.400	69.750	1.490	1.476	1.485	1.461	1.434	1.385	0.000	0.806	0.806	25.510	-10.073	1000.402	
32.300	69.950	1.491	1.475	1.486	1.460	1.434	1.385	0.000	0.806	0.806	25.750	-10.050	1000.000	
32.400	70.100	1.490	1.475	1.485	1.460	1.434	1.384	0.001	0.806	0.806	25.875	-10.050	1000.000	
32.400	70.300	1.490	1.478	1.485	1.460	1.434	1.384	0.000	0.806	0.806	25.917	-10.050	1000.000	
32.500	70.450	1.491	1.475	1.485	1.460	1.433	1.383	0.000	0.806	0.806	25.980	-10.050	1000.804	
32.500	70.450	1.489	1.476	1.485	1.461	1.433	1.384	0.000	0.806	0.806	26.012	-10.073	1000.402	
32.700	70.600	1.490	1.476	1.485	1.460	1.433	1.384	0.001	0.806	0.806	26.043	-10.050	1000.000	
33.250	70.650	1.490	1.478	1.484	1.460	1.432	1.383	0.000	0.806	0.806	26.074	-10.073	1001.207	
35.200	70.750	1.489	1.474	1.483	1.460	1.428	1.383	0.000	0.806	0.806	26.127	-10.050	1000.000	
39.250	70.750	1.488	1.476	1.480	1.460	1.422	1.383	0.001	0.806	0.806	26.190	-10.050	1001.609	
46.350	70.800	1.485	1.476	1.476	1.460	1.411	1.383	0.001	0.806	0.806	26.273	-10.050	1001.609	
56.300	70.800	1.480	1.476	1.470	1.460	1.396	1.383	0.001	0.806	0.806	26.420	-10.050	1000.804	
68.600	70.950	1.476	1.475	1.462	1.460	1.379	1.384	0.000	0.806	0.806	26.588	-10.050	1001.609	
82.950	71.000	1.471	1.476	1.454	1.460	1.360	1.384	0.001	0.806	0.806	26.831	-10.073	1002.012	
97.750	71.050	1.465	1.476	1.445	1.460	1.341	1.385	0.000	0.806	0.806	27.074	-10.096	1002.415	
100.050	71.100	1.367	1.475	1.345	1.460	1.240	1.384	0.000	0.806	0.806	27.284	-10.050	1001.609	
100.100	71.250	1.294	1.476	1.269	1.460	1.167	1.383	0.000	0.806	0.806	27.347	-10.050	1002.414	
100.100	71.250	1.240	1.475	1.216	1.460	1.113	1.384	0.000	0.806	0.806	27.347	-10.050	1000.804	
100.050	71.300	1.196	1.475	1.174	1.460	1.072	1.384	0.001	0.806	0.806	27.337	-10.073	1002.012	
100.050	71.400	1.167	1.475	1.142	1.460	1.040	1.383	0.001	0.806	0.806	27.347	-10.050	1001.609	
100.050	71.250	1.143	1.476	1.117	1.460	1.015	1.383	0.000	0.806	0.806	27.337	-10.073	1002.012	
99.950	71.300	1.116	1.476	1.093	1.460	0.992	1.384	0.000	0.806	0.806	27.316	-10.073	1002.818	
100.050	71.350	1.101	1.476	1.080	1.460	0.978	1.383	0.000	0.806	0.806	27.347	-10.050	1002.414	
100.100	71.400	1.088	1.475	1.065	1.460	0.963	1.383	0.000	0.806	0.806	27.326	-10.050	1001.609	
100.100	71.450	1.076	1.475	1.053	1.460	0.952	1.383	0.000	0.806	0.806	27.326	-10.050	1002.414	
100.050	71.550	1.065	1.475	1.042	1.460	0.941	1.383	0.001	0.806	0.806	27.326	-10.050	1001.609	
100.100	71.550	1.056	1.476	1.034	1.459	0.932	1.383	0.001	0.806	0.806	27.316	-10.073	1002.012	
100.150	71.600	1.050	1.476	1.027	1.460	0.925	1.383	0.000	0.806	0.806	27.316	-10.073	1002.818	
100.100	71.700	1.042	1.476	1.020	1.460	0.919	1.383	0.001	0.806	0.806	27.326	-10.050	1002.414	
100.000	71.800	1.035	1.476	1.012	1.459	0.911	1.383	0.001	0.806	0.806	27.316	-10.073	1003.625	
100.100	71.850	1.035	1.475	1.012	1.459	0.910	1.383	0.001	0.806	0.806	27.347	-10.050	1002.414	
100.050	71.800	1.030	1.475	1.006	1.460	0.907	1.383	0.000	0.806	0.806	27.316	-10.073	1002.818	
100.000	71.850	1.028	1.476	1.004	1.460	0.904	1.383	0.001	0.806	0.806	27.347	-10.050	1003.221	
